fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6,White
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,White
6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6,White
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,Red
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,Red
7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5,White
7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5,White
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6,White
6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,6,White
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5,White
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,White
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7,White
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,Red
5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,8,White
7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6,White
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,White
5.7,0.22,0.33,1.9,0.036,37,110,0.98945,3.26,0.58,12.4,6,White
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5,White
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,White
6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6,White
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,White
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,Red
6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6,White
6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6,White
7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6,White
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,White
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,White
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6,White
6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6,White
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,Red
6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6,White
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,Red
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,White
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,Red
7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7,White
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6,White
6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6,White
6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6,White
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5,Red
8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5,White
7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7,White
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,Red
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,White
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,White
5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6,White
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7,White
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,Red
7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5,White
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,White
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,White
6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,6,White
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7,White
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,Red
8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7,White
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6,White
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,Red
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,White
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4,White
8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5,Red
7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,5,White
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,Red
6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6,White
7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5,White
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,White
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6,Red
7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7,White
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,White
8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,5,White
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6,White
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,Red
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,White
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,White
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,Red
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,Red
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,White
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,White
6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7,White
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,White
6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,White
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,Red
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5,White
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8,White
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5,White
6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6,White
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,Red
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,6,White
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,White
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8,White
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,Red
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,White
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6,Red
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,Red
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,Red
7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,6,White
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,White
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,White
7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6,White
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5,Red
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6,White
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,White
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,Red
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6,White
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,Red
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6,White
5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7,White
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4,Red
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6,White
6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,6,White
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,White
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,Red
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,White
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5,Red
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,Red
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6,White
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5,White
7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5,White
5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7,White
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,White
6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8,White
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6,Red
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6,White
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,Red
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5,White
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,Red
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6,White
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,White
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,White
9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6,White
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8,White
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,White
7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5,Red
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7,Red
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,White
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7,White
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,Red
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6,White
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6,White
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,Red
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6,White
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,White
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5,White
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5,White
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,White
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,White
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,White
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,Red
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,Red
5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.3333333333333,5,White
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7,White
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5,White
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,White
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,White
5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5,White
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,White
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,White
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,Red
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,White
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5,White
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,Red
6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,5,White
7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5,White
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,Red
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6,White
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6,White
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,Red
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6,Red
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,Red
7,0.26,0.34,10.9,0.038,25,84,0.99432,3.11,0.34,10.9,6,White
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,White
6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,6,White
7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6,White
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,White
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7,White
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,Red
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,Red
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8,White
5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,6,White
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5,White
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7,White
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6,White
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6,White
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,Red
7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,6,White
6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,7,White
6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5,White
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,Red
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,Red
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6,White
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,White
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,Red
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5,White
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5,White
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,Red
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7,White
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,White
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,Red
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5,White
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,White
6.2,0.22,0.3,12.4,0.054,108,152,0.99728000000000006,3.1,0.47,9.5,6,White
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5,White
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,White
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,White
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6,White
8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,Red
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5,White
7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5,White
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,Red
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,White
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,Red
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,White
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,Red
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,7,White
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4,White
6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,Red
6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6,White
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,7,White
6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6,White
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,Red
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,White
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8,White
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,White
7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7,White
7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,White
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4,White
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6,White
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,Red
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,Red
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,White
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,Red
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5,White
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5,Red
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,Red
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,White
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7,White
6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6,White
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,Red
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4,White
6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,White
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,White
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,White
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,White
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,White
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,Red
6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6,White
